"","year","group_name","team_id","country_name.x","country_code","matches_played","wins","draws","losses","goals_for","goals_against","goal_difference","points","rank","teams_qualifying","qualified","min_qualifier_points","max_non_qualifier_points","points_gap","tie_at_cutoff","treatment","points_diff","country_name.y","bicc_milper","bicc_milexp","bicc_gmi","wdi_expmil","wdi_pop","wdi_popurb","wdi_birth","wdi_death","wdi_mortinf","wdi_lifexp","wpp_medianage","wpp_sexratio","wdi_export","wdi_import","wdi_gdpcapcon2015","wdi_gdpgr","wdi_area","vdem_polyarchy","ht_colonial","atop_number","wdi_pop_log","v2paseatshare","milex","milex5yb","milex3yb","milex1yb","milex5ya","milex3ya","milex1ya","dmilex","dmilex5yb","dmilex3yb","dmilex1yb","dmilex5ya","dmilex3ya","dmilex1ya"
"1",1930,"Group 1","T-03","Argentina","ARG",3,3,0,0,10,4,6,9,1,1,1,9,6,3,FALSE,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1930,"Group 1","T-13","Chile","CHL",3,2,0,1,5,3,2,6,2,1,0,9,6,3,FALSE,0,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1930,"Group 2","T-87","Yugoslavia","YUG",2,2,0,0,6,1,5,6,1,1,1,6,3,3,FALSE,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1930,"Group 2","T-09","Brazil","BRA",2,1,0,1,5,2,3,3,2,1,0,6,3,3,FALSE,0,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1930,"Group 3","T-84","Uruguay","URY",2,2,0,0,5,0,5,6,1,1,1,6,3,3,FALSE,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1930,"Group 3","T-61","Romania","ROU",2,1,0,1,3,5,-2,3,2,1,0,6,3,3,FALSE,0,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1930,"Group 4","T-83","United States","USA",2,2,0,0,6,0,6,6,1,1,1,6,3,3,FALSE,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1930,"Group 4","T-55","Paraguay","PRY",2,1,0,1,1,3,-2,3,2,1,0,6,3,3,FALSE,0,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1950,"Group 1","T-09","Brazil","BRA",3,2,1,0,8,2,6,7,1,1,1,7,6,1,FALSE,1,1,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.466,101.681,NA,NA,NA,NA,NA,0.388,7,2,NA,22.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1950,"Group 1","T-87","Yugoslavia","YUG",3,2,0,1,7,3,4,6,2,1,0,7,6,1,FALSE,0,-1,"Yugoslavia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1950,"Group 2","T-73","Spain","ESP",3,3,0,0,6,1,5,9,1,1,1,9,3,6,FALSE,1,6,"Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.475,92.735,NA,NA,NA,NA,NA,0.069,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1950,"Group 2","T-28","England","ENG",3,1,0,2,2,2,0,3,2,1,0,9,3,6,FALSE,0,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1950,"Group 2","T-13","Chile","CHL",3,1,0,2,5,6,-1,3,3,1,0,9,3,6,FALSE,0,-6,"Chile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.405,101.969,NA,NA,NA,NA,NA,0.415,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1950,"Group 2","T-83","United States","USA",3,1,0,2,4,8,-4,3,4,1,0,9,3,6,FALSE,0,-6,"United States of America (the)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.962,98.667,NA,NA,NA,NA,NA,0.585,0,3,NA,49.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1950,"Group 3","T-74","Sweden","SWE",2,1,1,0,5,4,1,4,1,1,1,4,3,1,FALSE,1,1,"Sweden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.172,99.295,NA,NA,NA,NA,NA,0.769,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
